Cell_ID,SRA Accession,Run_ID,cell_line,tissue
s0038_mouse1_MDAMB231_Tumor_1cells,SRX15229999,SRR19163803,MDAMB231,Tumor
s0039_mouse1_MDAMB231_Tumor_1cells,SRX15230000,SRR19163802,MDAMB231,Tumor
s0040_mouse1_MDAMB231_Tumor_0cells,SRX15230001,SRR19163801,MDAMB231,Tumor
s0041_mouse1_MDAMB231_Tumor_1cells,SRX15230002,SRR19163800,MDAMB231,Tumor
s0042_mouse1_MDAMB231_Tumor_1cells,SRX15230003,SRR19163799,MDAMB231,Tumor
s0043_mouse1_MDAMB231_Tumor_0cells,SRX15230004,SRR19163798,MDAMB231,Tumor
s0044_mouse1a_MDAMB231_Tumor_0cells,SRX15230005,SRR19163797,MDAMB231,Tumor
s0045_mouse1a_MDAMB231_Tumor_1cells,SRX15230006,SRR19163796,MDAMB231,Tumor
s0046_mouse1_MDAMB231_Tumor_1cells,SRX15230007,SRR19163795,MDAMB231,Tumor
s0047_mouse1a_MDAMB231_Tumor_0cells,SRX15230008,SRR19163794,MDAMB231,Tumor
s0048_mouse1_MDAMB231_Tumor_1cells,SRX15230009,SRR19163793,MDAMB231,Tumor
s0049_mouse1_MDAMB231_Tumor_1cells,SRX15230010,SRR19163792,MDAMB231,Tumor
s0050_mouse1_MDAMB231_Tumor_1cells,SRX15230011,SRR19163791,MDAMB231,Tumor
s0051_mouse1a_MDAMB231_Tumor_0cells,SRX15230724,SRR19164340,MDAMB231,Tumor
s0052_mouse1_MDAMB231_Tumor_1cells,SRX15230725,SRR19164339,MDAMB231,Tumor
s0053_mouse1_MDAMB231_Tumor_1cells,SRX15230726,SRR19164338,MDAMB231,Tumor
s0054_mouse1a_MDAMB231_Tumor_0cells,SRX15230727,SRR19164337,MDAMB231,Tumor
s0055_mouse1a_MDAMB231_Tumor_0cells,SRX15230728,SRR19164336,MDAMB231,Tumor
s0056_mouse1_MDAMB231_Tumor_1cells,SRX15230729,SRR19164335,MDAMB231,Tumor
s0057_mouse1_MDAMB231_Tumor_1cells,SRX15230730,SRR19164334,MDAMB231,Tumor
s0058_mouse1a_MDAMB231_Tumor_0cells,SRX15230731,SRR19164333,MDAMB231,Tumor
s0059_mouse1_MDAMB231_Tumor_1cells,SRX15230732,SRR19164332,MDAMB231,Tumor
s0060_mouse1a_MDAMB231_Tumor_0cells,SRX15230733,SRR19164331,MDAMB231,Tumor
s0061_mouse1_MDAMB231_Tumor_2cells,SRX15230734,SRR19164330,MDAMB231,Tumor
s0062_mouse1_MDAMB231_Tumor_1cells,SRX15230735,SRR19164329,MDAMB231,Tumor
s0063_mouse1_MDAMB231_Tumor_1cells,SRX15230736,SRR19164328,MDAMB231,Tumor
s0064_mouse1_MDAMB231_Tumor_1cells,SRX15230737,SRR19164327,MDAMB231,Tumor
s0065_mouse1a_MDAMB231_Tumor_1cells,SRX15230738,SRR19164326,MDAMB231,Tumor
s0066_mouse1_MDAMB231_Tumor_1cells,SRX15230739,SRR19164325,MDAMB231,Tumor
s0067_mouse1a_MDAMB231_Tumor_0cells,SRX15230080,SRR19163722,MDAMB231,Tumor
s0068_mouse1_MDAMB231_Tumor_0cells,SRX15230081,SRR19163721,MDAMB231,Tumor
s0069_mouse1_MDAMB231_Tumor_1cells,SRX15230082,SRR19163720,MDAMB231,Tumor
s0070_mouse1_MDAMB231_Tumor_1cells,SRX15230083,SRR19163719,MDAMB231,Tumor
s0071_mouse1_MDAMB231_Tumor_0cells,SRX15230084,SRR19163718,MDAMB231,Tumor
s0072_mouse1_MDAMB231_Tumor_2cells,SRX15230085,SRR19163717,MDAMB231,Tumor
s0073_mouse1_MDAMB231_Tumor_1cells,SRX15230086,SRR19163716,MDAMB231,Tumor
s0074_mouse1_MDAMB231_Tumor_1cells,SRX15230087,SRR19163715,MDAMB231,Tumor
s0075_mouse1_MDAMB231_Tumor_1cells,SRX15230088,SRR19163714,MDAMB231,Tumor
s0076_mouse1a_MDAMB231_Tumor_0cells,SRX15230089,SRR19163713,MDAMB231,Tumor
s0077_mouse1_MDAMB231_Tumor_1cells,SRX15230090,SRR19163712,MDAMB231,Tumor
s0078_mouse1_MDAMB231_Tumor_1cells,SRX15230091,SRR19163711,MDAMB231,Tumor
s0079_mouse1_MDAMB231_Tumor_1cells,SRX15230092,SRR19163710,MDAMB231,Tumor
s0080_mouse1a_MDAMB231_Tumor_0cells,SRX15230093,SRR19163709,MDAMB231,Tumor
s0081_mouse1_MDAMB231_Tumor_1cells,SRX15230094,SRR19163708,MDAMB231,Tumor
s0082_mouse1_MDAMB231_Tumor_1cells,SRX15230095,SRR19163707,MDAMB231,Tumor
s0083_mouse1a_MDAMB231_Tumor_0cells,SRX15229164,SRR19162918,MDAMB231,Tumor
s0084_mouse1_MDAMB231_Tumor_0cells,SRX15229165,SRR19162917,MDAMB231,Tumor
s0085_mouse1_MDAMB231_Tumor_1cells,SRX15229166,SRR19162916,MDAMB231,Tumor
s0086_mouse1_MDAMB231_Tumor_0cells,SRX15229167,SRR19162915,MDAMB231,Tumor
s0087_mouse1_MDAMB231_Tumor_0cells,SRX15229168,SRR19162914,MDAMB231,Tumor
s0088_mouse1a_MDAMB231_Tumor_0cells,SRX15229169,SRR19162913,MDAMB231,Tumor
s0089_mouse1_MDAMB231_Tumor_0cells,SRX15229170,SRR19162912,MDAMB231,Tumor
s0090_mouse1_MDAMB231_Tumor_1cells,SRX15229171,SRR19162911,MDAMB231,Tumor
s0091_mouse1_MDAMB231_Tumor_1cells,SRX15229172,SRR19162910,MDAMB231,Tumor
s0092_mouse1_MDAMB231_Tumor_1cells,SRX15229173,SRR19162909,MDAMB231,Tumor
s0093_mouse2_MDAMB231_Tumor_1cells,SRX15229174,SRR19162908,MDAMB231,Tumor
s0094_mouse2_MDAMB231_Tumor_1cells,SRX15229175,SRR19162907,MDAMB231,Tumor
s0095_mouse2_MDAMB231_Tumor_1cells,SRX15229176,SRR19162906,MDAMB231,Tumor
s0096_mouse2_MDAMB231_Tumor_1cells,SRX15229177,SRR19162905,MDAMB231,Tumor
s0097_mouse2_MDAMB231_Tumor_1cells,SRX15229178,SRR19162904,MDAMB231,Tumor
s0098_mouse2_MDAMB231_Tumor_1cells,SRX15229179,SRR19162903,MDAMB231,Tumor
s0099_mouse2_MDAMB231_Tumor_1cells,SRX15230012,SRR19163790,MDAMB231,Tumor
s0100_mouse2_MDAMB231_Tumor_1cells,SRX15230013,SRR19163789,MDAMB231,Tumor
s0101_mouse2_MDAMB231_Tumor_1cells,SRX15230014,SRR19163788,MDAMB231,Tumor
s0102_mouse2_MDAMB231_Tumor_1cells,SRX15230015,SRR19163787,MDAMB231,Tumor
s0103_mouse2_MDAMB231_Tumor_1cells,SRX15230016,SRR19163786,MDAMB231,Tumor
s0104_mouse2_MDAMB231_Tumor_1cells,SRX15230017,SRR19163785,MDAMB231,Tumor
s0105_mouse2_MDAMB231_Tumor_1cells,SRX15230018,SRR19163784,MDAMB231,Tumor
s0106_mouse2_MDAMB231_Tumor_1cells,SRX15230019,SRR19163783,MDAMB231,Tumor
s0107_mouse2_MDAMB231_Tumor_1cells,SRX15230020,SRR19163782,MDAMB231,Tumor
s0108_mouse2_MDAMB231_Tumor_1cells,SRX15230021,SRR19163781,MDAMB231,Tumor
s0109_mouse2_MDAMB231_Tumor_1cells,SRX15230022,SRR19163780,MDAMB231,Tumor
s0110_mouse2_MDAMB231_Tumor_1cells,SRX15230023,SRR19163779,MDAMB231,Tumor
s0111_mouse2_MDAMB231_Tumor_1cells,SRX15230024,SRR19163778,MDAMB231,Tumor
s0112_mouse2_MDAMB231_Tumor_1cells,SRX15230025,SRR19163777,MDAMB231,Tumor
s0113_mouse2_MDAMB231_Tumor_1cells,SRX15230026,SRR19163776,MDAMB231,Tumor
s0114_mouse2_MDAMB231_Tumor_1cells,SRX15230027,SRR19163775,MDAMB231,Tumor
s0115_mouse2_MDAMB231_Tumor_1cells,SRX15230176,SRR19163970,MDAMB231,Tumor
s0116_mouse2_MDAMB231_Tumor_1cells,SRX15230177,SRR19163969,MDAMB231,Tumor
s0117_mouse2_MDAMB231_Tumor_1cells,SRX15230178,SRR19163968,MDAMB231,Tumor
s0118_mouse2_MDAMB231_Tumor_1cells,SRX15230179,SRR19163967,MDAMB231,Tumor
s0119_mouse2_MDAMB231_Tumor_1cells,SRX15230180,SRR19163966,MDAMB231,Tumor
s0120_mouse2_MDAMB231_Tumor_1cells,SRX15230181,SRR19163965,MDAMB231,Tumor
s0121_mouse2_MDAMB231_Tumor_1cells,SRX15230182,SRR19163964,MDAMB231,Tumor
s0122_mouse2_MDAMB231_Tumor_1cells,SRX15230183,SRR19163963,MDAMB231,Tumor
s0123_mouse2_MDAMB231_Tumor_1cells,SRX15230184,SRR19163962,MDAMB231,Tumor
s0124_mouse2_MDAMB231_Tumor_1cells,SRX15230185,SRR19163961,MDAMB231,Tumor
s0125_mouse2_MDAMB231_Tumor_1cells,SRX15230186,SRR19163960,MDAMB231,Tumor
s0126_mouse2_MDAMB231_Tumor_1cells,SRX15230187,SRR19163959,MDAMB231,Tumor
s0127_mouse2_MDAMB231_Tumor_1cells,SRX15230188,SRR19163958,MDAMB231,Tumor
s0128_mouse2_MDAMB231_Tumor_1cells,SRX15230189,SRR19163957,MDAMB231,Tumor
s0129_mouse2_MDAMB231_Tumor_1cells,SRX15230190,SRR19163956,MDAMB231,Tumor
s0130_mouse2_MDAMB231_Tumor_1cells,SRX15230191,SRR19163955,MDAMB231,Tumor
s0131_mouse2_MDAMB231_Tumor_1cells,SRX15230096,SRR19163706,MDAMB231,Tumor
s0132_mouse2_MDAMB231_Tumor_1cells,SRX15230097,SRR19163705,MDAMB231,Tumor
s0133_mouse2_MDAMB231_Tumor_1cells,SRX15230098,SRR19163704,MDAMB231,Tumor
s0134_mouse2_MDAMB231_Tumor_1cells,SRX15230099,SRR19163703,MDAMB231,Tumor
s0135_mouse2_MDAMB231_Tumor_1cells,SRX15230100,SRR19163702,MDAMB231,Tumor
s0136_mouse2_MDAMB231_Tumor_1cells,SRX15230101,SRR19163701,MDAMB231,Tumor
s0137_mouse2_MDAMB231_Tumor_1cells,SRX15230102,SRR19163700,MDAMB231,Tumor
s0138_mouse2_MDAMB231_Tumor_1cells,SRX15230103,SRR19163699,MDAMB231,Tumor
s0139_mouse2_MDAMB231_Tumor_1cells,SRX15230104,SRR19163698,MDAMB231,Tumor
s0140_mouse2_MDAMB231_Tumor_1cells,SRX15230105,SRR19163697,MDAMB231,Tumor
s0141_mouse2_MDAMB231_Tumor_1cells,SRX15230106,SRR19163696,MDAMB231,Tumor
s0142_mouse2_MDAMB231_Tumor_1cells,SRX15230107,SRR19163695,MDAMB231,Tumor
s0143_mouse2_MDAMB231_Tumor_1cells,SRX15230108,SRR19163694,MDAMB231,Tumor
s0144_mouse2_MDAMB231_Tumor_1cells,SRX15230109,SRR19163693,MDAMB231,Tumor
s0145_mouse2_MDAMB231_Tumor_1cells,SRX15230110,SRR19163692,MDAMB231,Tumor
s0146_mouse2_MDAMB231_Tumor_1cells,SRX15230111,SRR19163691,MDAMB231,Tumor
s0147_mouse2_MDAMB231_Tumor_1cells,SRX15229180,SRR19162902,MDAMB231,Tumor
s0148_mouse2_MDAMB231_Tumor_1cells,SRX15229181,SRR19162901,MDAMB231,Tumor
s0149_mouse2_MDAMB231_Tumor_1cells,SRX15229182,SRR19162900,MDAMB231,Tumor
s0150_mouse2_MDAMB231_Tumor_1cells,SRX15229183,SRR19162899,MDAMB231,Tumor
s0151_mouse2_MDAMB231_Tumor_1cells,SRX15229184,SRR19162898,MDAMB231,Tumor
s0152_mouse2_MDAMB231_Tumor_1cells,SRX15229185,SRR19162897,MDAMB231,Tumor
s0153_mouse2_MDAMB231_Tumor_1cells,SRX15229186,SRR19162896,MDAMB231,Tumor
s0154_mouse2_MDAMB231_Tumor_1cells,SRX15229187,SRR19162895,MDAMB231,Tumor
s0155_mouse2_MDAMB231_Tumor_1cells,SRX15229188,SRR19162894,MDAMB231,Tumor
s0156_mouse2_MDAMB231_Tumor_0cells,SRX15229189,SRR19162893,MDAMB231,Tumor
s0157_mouse2_MDAMB231_Tumor_1cells,SRX15229190,SRR19162892,MDAMB231,Tumor
s0158_mouse2_MDAMB231_Tumor_1cells,SRX15229191,SRR19162891,MDAMB231,Tumor
s0159_mouse2_MDAMB231_Tumor_1cells,SRX15229192,SRR19162890,MDAMB231,Tumor
s0160_mouse2_MDAMB231_Tumor_1cells,SRX15229193,SRR19162889,MDAMB231,Tumor
s0161_mouse2_MDAMB231_Tumor_2cells,SRX15229194,SRR19162888,MDAMB231,Tumor
s0162_mouse2_MDAMB231_Tumor_0cells,SRX15229195,SRR19162887,MDAMB231,Tumor
s0163_mouse2_MDAMB231_Tumor_1cells,SRX15230028,SRR19163774,MDAMB231,Tumor
s0164_mouse2_MDAMB231_Tumor_1cells,SRX15230029,SRR19163773,MDAMB231,Tumor
s0165_mouse2_MDAMB231_Tumor_1cells,SRX15230030,SRR19163772,MDAMB231,Tumor
s0166_mouse2_MDAMB231_Tumor_1cells,SRX15230031,SRR19163771,MDAMB231,Tumor
s0167_mouse2_MDAMB231_Tumor_1cells,SRX15230032,SRR19163770,MDAMB231,Tumor
s0168_mouse2_MDAMB231_Tumor_1cells,SRX15230033,SRR19163769,MDAMB231,Tumor
s0169_mouse2_MDAMB231_Tumor_1cells,SRX15230034,SRR19163768,MDAMB231,Tumor
s0170_mouse2_MDAMB231_Tumor_1cells,SRX15230035,SRR19163767,MDAMB231,Tumor
s0171_mouse2_MDAMB231_Tumor_1cells,SRX15230036,SRR19163766,MDAMB231,Tumor
s0172_mouse2_MDAMB231_Tumor_1cells,SRX15230037,SRR19163765,MDAMB231,Tumor
s0173_mouse2_MDAMB231_Tumor_1cells,SRX15230038,SRR19163764,MDAMB231,Tumor
s0174_mouse2_MDAMB231_Tumor_1cells,SRX15230039,SRR19163763,MDAMB231,Tumor
s0175_mouse2_MDAMB231_Tumor_1cells,SRX15230040,SRR19163762,MDAMB231,Tumor
s0176_mouse2_MDAMB231_Tumor_1cells,SRX15230041,SRR19163761,MDAMB231,Tumor
s0177_mouse2_MDAMB231_Tumor_1cells,SRX15230042,SRR19163760,MDAMB231,Tumor
s0178_mouse2_MDAMB231_Tumor_1cells,SRX15230043,SRR19163759,MDAMB231,Tumor
s0179_mouse2_MDAMB231_Tumor_1cells,SRX15230192,SRR19163954,MDAMB231,Tumor
s0180_mouse2_MDAMB231_Tumor_0cells,SRX15230193,SRR19163953,MDAMB231,Tumor
s0181_mouse2_MDAMB231_Tumor_0cells,SRX15230194,SRR19163952,MDAMB231,Tumor
s0182_mouse2_MDAMB231_Tumor_0cells,SRX15230195,SRR19163951,MDAMB231,Tumor
s0183_mouse2_MDAMB231_Tumor_5cells,SRX15230196,SRR19163950,MDAMB231,Tumor
s0184_mouse2_MDAMB231_Tumor_1cells,SRX15230197,SRR19163949,MDAMB231,Tumor
s0185_mouse2_MDAMB231_Tumor_1cells,SRX15230198,SRR19163948,MDAMB231,Tumor
s0186_mouse2_MDAMB231_Tumor_0cells,SRX15230199,SRR19163947,MDAMB231,Tumor
s0187_mouse2_MDAMB231_Tumor_0cells,SRX15230200,SRR19163946,MDAMB231,Tumor
s0188_mouse2_MDAMB231_Tumor_0cells,SRX15230201,SRR19163945,MDAMB231,Tumor
s0189_mouse3_MDAMB231_Tumor_1cells,SRX15230202,SRR19163944,MDAMB231,Tumor
s0190_mouse3_MDAMB231_Tumor_1cells,SRX15230203,SRR19163943,MDAMB231,Tumor
s0191_mouse3_MDAMB231_Tumor_1cells,SRX15230204,SRR19163942,MDAMB231,Tumor
s0192_mouse3_MDAMB231_Tumor_1cells,SRX15230205,SRR19163941,MDAMB231,Tumor
s0193_mouse3_MDAMB231_Tumor_1cells,SRX15230206,SRR19163940,MDAMB231,Tumor
s0194_mouse3_MDAMB231_Tumor_1cells,SRX15230207,SRR19163939,MDAMB231,Tumor
s0195_mouse3_MDAMB231_Tumor_1cells,SRX15230112,SRR19163690,MDAMB231,Tumor
s0196_mouse3_MDAMB231_Tumor_1cells,SRX15230113,SRR19163689,MDAMB231,Tumor
s0197_mouse3_MDAMB231_Tumor_1cells,SRX15230114,SRR19163688,MDAMB231,Tumor
s0198_mouse3_MDAMB231_Tumor_1cells,SRX15230115,SRR19163687,MDAMB231,Tumor
s0199_mouse3_MDAMB231_Tumor_1cells,SRX15230116,SRR19163686,MDAMB231,Tumor
s0200_mouse3_MDAMB231_Tumor_1cells,SRX15230117,SRR19163685,MDAMB231,Tumor
s0201_mouse3_MDAMB231_Tumor_1cells,SRX15230118,SRR19163684,MDAMB231,Tumor
s0202_mouse3_MDAMB231_Tumor_1cells,SRX15230119,SRR19163683,MDAMB231,Tumor
s0203_mouse3_MDAMB231_Tumor_1cells,SRX15230120,SRR19163682,MDAMB231,Tumor
s0204_mouse3_MDAMB231_Tumor_1cells,SRX15230121,SRR19163681,MDAMB231,Tumor
s0205_mouse3_MDAMB231_Tumor_1cells,SRX15230122,SRR19163680,MDAMB231,Tumor
s0206_mouse3_MDAMB231_Tumor_1cells,SRX15230123,SRR19163679,MDAMB231,Tumor
s0207_mouse3_MDAMB231_Tumor_1cells,SRX15230124,SRR19163678,MDAMB231,Tumor
s0208_mouse3_MDAMB231_Tumor_1cells,SRX15230125,SRR19163677,MDAMB231,Tumor
s0209_mouse3_MDAMB231_Tumor_1cells,SRX15230126,SRR19163676,MDAMB231,Tumor
s0210_mouse3_MDAMB231_Tumor_1cells,SRX15230127,SRR19163675,MDAMB231,Tumor
s0211_mouse3_MDAMB231_Tumor_1cells,SRX15229196,SRR19162886,MDAMB231,Tumor
s0212_mouse3_MDAMB231_Tumor_1cells,SRX15229197,SRR19162885,MDAMB231,Tumor
s0213_mouse3_MDAMB231_Tumor_1cells,SRX15229198,SRR19162884,MDAMB231,Tumor
s0214_mouse3_MDAMB231_Tumor_2cells,SRX15229199,SRR19162883,MDAMB231,Tumor
s0215_mouse3_MDAMB231_Tumor_1cells,SRX15229200,SRR19162882,MDAMB231,Tumor
s0216_mouse3_MDAMB231_Tumor_1cells,SRX15229201,SRR19162881,MDAMB231,Tumor
s0217_mouse3_MDAMB231_Tumor_1cells,SRX15229202,SRR19162880,MDAMB231,Tumor
s0218_mouse3_MDAMB231_Tumor_1cells,SRX15229203,SRR19162879,MDAMB231,Tumor
s0219_mouse3_MDAMB231_Tumor_1cells,SRX15229204,SRR19162878,MDAMB231,Tumor
s0220_mouse3_MDAMB231_Tumor_1cells,SRX15229205,SRR19162877,MDAMB231,Tumor
s0221_mouse3_MDAMB231_Tumor_3cells,SRX15229206,SRR19162876,MDAMB231,Tumor
s0222_mouse3_MDAMB231_Tumor_1cells,SRX15229207,SRR19162875,MDAMB231,Tumor
s0223_mouse3_MDAMB231_Tumor_1cells,SRX15229208,SRR19162874,MDAMB231,Tumor
s0224_mouse3_MDAMB231_Tumor_1cells,SRX15229209,SRR19162873,MDAMB231,Tumor
s0225_mouse3_MDAMB231_Tumor_1cells,SRX15229210,SRR19162872,MDAMB231,Tumor
s0226_mouse3_MDAMB231_Tumor_1cells,SRX15229211,SRR19162871,MDAMB231,Tumor
s0227_mouse3_MDAMB231_Tumor_1cells,SRX15230044,SRR19163758,MDAMB231,Tumor
s0228_mouse3_MDAMB231_Tumor_1cells,SRX15230045,SRR19163757,MDAMB231,Tumor
s0229_mouse3_MDAMB231_Tumor_1cells,SRX15230046,SRR19163756,MDAMB231,Tumor
s0230_mouse3_MDAMB231_Tumor_1cells,SRX15230047,SRR19163755,MDAMB231,Tumor
s0231_mouse3_MDAMB231_Tumor_1cells,SRX15230048,SRR19163754,MDAMB231,Tumor
s0232_mouse3_MDAMB231_Tumor_1cells,SRX15230049,SRR19163753,MDAMB231,Tumor
s0233_mouse3_MDAMB231_Tumor_1cells,SRX15230050,SRR19163752,MDAMB231,Tumor
s0234_mouse3_MDAMB231_Tumor_1cells,SRX15230051,SRR19163751,MDAMB231,Tumor
s0235_mouse3_MDAMB231_Tumor_1cells,SRX15230052,SRR19163750,MDAMB231,Tumor
s0236_mouse3_MDAMB231_Tumor_1cells,SRX15230053,SRR19163749,MDAMB231,Tumor
s0237_mouse3_MDAMB231_Tumor_2cells,SRX15230054,SRR19163748,MDAMB231,Tumor
s0238_mouse3_MDAMB231_Tumor_1cells,SRX15230055,SRR19163747,MDAMB231,Tumor
s0239_mouse3_MDAMB231_Tumor_1cells,SRX15230056,SRR19163746,MDAMB231,Tumor
s0240_mouse3_MDAMB231_Tumor_1cells,SRX15230057,SRR19163745,MDAMB231,Tumor
s0241_mouse3_MDAMB231_Tumor_1cells,SRX15230058,SRR19163744,MDAMB231,Tumor
s0242_mouse3_MDAMB231_Tumor_1cells,SRX15230059,SRR19163743,MDAMB231,Tumor
s0243_mouse3_MDAMB231_Tumor_1cells,SRX15230208,SRR19163938,MDAMB231,Tumor
s0244_mouse3_MDAMB231_Tumor_2cells,SRX15230209,SRR19163937,MDAMB231,Tumor
s0245_mouse3_MDAMB231_Tumor_1cells,SRX15230210,SRR19163936,MDAMB231,Tumor
s0246_mouse3_MDAMB231_Tumor_1cells,SRX15230211,SRR19163935,MDAMB231,Tumor
s0247_mouse3_MDAMB231_Tumor_1cells,SRX15230212,SRR19163934,MDAMB231,Tumor
s0248_mouse3_MDAMB231_Tumor_1cells,SRX15230213,SRR19163933,MDAMB231,Tumor
s0249_mouse3_MDAMB231_Tumor_1cells,SRX15230214,SRR19163932,MDAMB231,Tumor
s0250_mouse3_MDAMB231_Tumor_1cells,SRX15230215,SRR19163931,MDAMB231,Tumor
s0251_mouse3_MDAMB231_Tumor_1cells,SRX15230216,SRR19163930,MDAMB231,Tumor
s0252_mouse3_MDAMB231_Tumor_1cells,SRX15230217,SRR19163929,MDAMB231,Tumor
s0253_mouse3_MDAMB231_Tumor_1cells,SRX15230218,SRR19163928,MDAMB231,Tumor
s0254_mouse3_MDAMB231_Tumor_1cells,SRX15230219,SRR19163927,MDAMB231,Tumor
s0255_mouse3_MDAMB231_Tumor_1cells,SRX15230220,SRR19163926,MDAMB231,Tumor
s0256_mouse3_MDAMB231_Tumor_1cells,SRX15230221,SRR19163925,MDAMB231,Tumor
s0257_mouse3_MDAMB231_Tumor_1cells,SRX15230222,SRR19163924,MDAMB231,Tumor
s0258_mouse3_MDAMB231_Tumor_1cells,SRX15230223,SRR19163923,MDAMB231,Tumor
s0259_mouse3_MDAMB231_Tumor_1cells,SRX15230128,SRR19163674,MDAMB231,Tumor
s0260_mouse3_MDAMB231_Tumor_1cells,SRX15230129,SRR19163673,MDAMB231,Tumor
s0261_mouse3_MDAMB231_Tumor_1cells,SRX15230130,SRR19163672,MDAMB231,Tumor
s0262_mouse3_MDAMB231_Tumor_1cells,SRX15230131,SRR19163671,MDAMB231,Tumor
s0263_mouse3_MDAMB231_Tumor_1cells,SRX15230132,SRR19163670,MDAMB231,Tumor
s0264_mouse3_MDAMB231_Tumor_1cells,SRX15230133,SRR19163669,MDAMB231,Tumor
s0265_mouse3_MDAMB231_Tumor_1cells,SRX15230134,SRR19163668,MDAMB231,Tumor
s0266_mouse3_MDAMB231_Tumor_1cells,SRX15230135,SRR19163667,MDAMB231,Tumor
s0267_mouse3_MDAMB231_Tumor_1cells,SRX15230136,SRR19163666,MDAMB231,Tumor
s0268_mouse3_MDAMB231_Tumor_1cells,SRX15230137,SRR19163665,MDAMB231,Tumor
s0269_mouse3_MDAMB231_Tumor_1cells,SRX15230138,SRR19163664,MDAMB231,Tumor
s0270_mouse3_MDAMB231_Tumor_1cells,SRX15230139,SRR19163663,MDAMB231,Tumor
s0271_mouse3_MDAMB231_Tumor_1cells,SRX15230140,SRR19163662,MDAMB231,Tumor
s0272_mouse3_MDAMB231_Tumor_1cells,SRX15230141,SRR19163661,MDAMB231,Tumor
